name,averageofgoals,averageofpoints,AverageCreativity,AverageAssists,AverageThreat,AverageCS,AverageSel,AverageGC
Gabriel dos Santos Magalhães,0.11538461538461539,3.8461538461538463,3.826923076923077,0.038461538461538464,19.492307692307694,0.34615384615384615,1777182.4615384615,0.07692307692307693
Guglielmo Vicario,0.0,3.1153846153846154,0.0,0.0,24.861538461538462,0.19230769230769232,712362.6153846154,0.07692307692307693
Gustavo Hamer,0.08,2.48,20.452,0.12,12.72,0.08,19451.68,0.28
Hwang Hee-chan,0.38461538461538464,3.923076923076923,8.296153846153846,0.11538461538461539,17.207692307692305,0.07692307692307693,463196.8846153846,0.15384615384615385
Ibrahim Sangaré,0.0,0.8636363636363636,4.345454545454545,0.0,6.054545454545454,0.18181818181818182,1081.409090909091,0.22727272727272727
Ibrahima Konaté,0.0,1.8888888888888888,4.714814814814814,0.0,11.614814814814816,0.2222222222222222,172872.03703703705,0.1111111111111111
Idrissa Gueye,0.038461538461538464,1.2307692307692308,6.223076923076923,0.0,7.6923076923076925,0.11538461538461539,4103.692307692308,0.2692307692307692
Illia Zabarnyi,0.0,2.12,3.02,0.0,17.543999999999997,0.24,15166.6,0.16
Issa Diop,0.0,1.4230769230769231,0.7269230769230769,0.0,10.461538461538462,0.15384615384615385,60783.153846153844,0.07692307692307693
Issa Kaboré,0.0,1.0,6.2576923076923086,0.07692307692307693,7.153846153846154,0.0,510245.46153846156,0.19230769230769232
Jack Harrison,0.12,2.96,11.668,0.12,11.992,0.32,10806.4,0.0
Jack Robinson,0.0,0.7307692307692307,3.4000000000000004,0.038461538461538464,15.946153846153846,0.038461538461538464,9300.423076923076,0.2692307692307692
James Garner,0.038461538461538464,2.5,19.903846153846153,0.07692307692307693,16.661538461538463,0.2692307692307692,10347.923076923076,0.19230769230769232
James Maddison,0.11538461538461539,3.1923076923076925,23.78076923076923,0.34615384615384615,16.66923076923077,0.19230769230769232,1799505.5384615385,0.11538461538461539
James McAtee,0.11538461538461539,2.3846153846153846,10.45,0.11538461538461539,10.0,0.07692307692307693,56997.192307692305,0.07692307692307693
James Tarkowski,0.038461538461538464,3.1538461538461537,7.446153846153846,0.038461538461538464,24.03846153846154,0.3076923076923077,382984.1923076923,0.15384615384615385
James Trafford,0.0,2.576923076923077,0.12692307692307694,0.0,31.553846153846152,0.07692307692307693,99450.0,0.07692307692307693
James Ward-Prowse,0.2,4.48,32.404,0.28,25.855999999999998,0.2,919169.28,0.16
Jan Paul van Hecke,0.0,1.7307692307692308,5.5576923076923075,0.0,19.43846153846154,0.11538461538461539,213620.11538461538,0.07692307692307693
Jarrad Branthwaite,0.038461538461538464,2.6153846153846154,1.7846153846153845,0.0,17.746153846153845,0.2692307692307692,233226.8076923077,0.2692307692307692
Jarrod Bowen,0.4230769230769231,4.8076923076923075,10.542307692307693,0.11538461538461539,23.146153846153844,0.19230769230769232,1893366.2692307692,0.07692307692307693
Jason Steele,0.0,1.5769230769230769,0.0038461538461538464,0.0,13.36153846153846,0.07692307692307693,289628.73076923075,0.0
Jayden Bogle,0.038461538461538464,1.1923076923076923,5.1923076923076925,0.07692307692307693,12.03076923076923,0.07692307692307693,8123.076923076923,0.3076923076923077
Jean-Philippe Mateta,0.11538461538461539,2.576923076923077,10.496153846153845,0.19230769230769232,10.23076923076923,0.07692307692307693,61442.88461538462,0.07692307692307693
Jefferson Lerma Solís,0.038461538461538464,1.8846153846153846,11.265384615384615,0.038461538461538464,11.007692307692308,0.11538461538461539,15570.538461538461,0.2692307692307692
Jeffrey Schlupp,0.038461538461538464,1.8076923076923077,7.042307692307692,0.038461538461538464,7.992307692307692,0.15384615384615385,12620.615384615385,0.0
Joachim Andersen,0.07692307692307693,2.9615384615384617,8.284615384615385,0.07692307692307693,24.23846153846154,0.19230769230769232,1559975.2307692308,0.15384615384615385
Joel Ward,0.0,1.5,2.803846153846154,0.038461538461538464,10.053846153846154,0.15384615384615385,26621.423076923078,0.15384615384615385
Joelinton Cássio Apolinário de Lira,0.07692307692307693,1.5769230769230769,9.569230769230769,0.038461538461538464,9.53076923076923,0.11538461538461539,57915.57692307692,0.19230769230769232
