name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_saved,red_cards,saves,penalties_missed,selected,threat,total_points,value
Jordan Henderson,MID,Liverpool,2.7270270270270274,0.08108108108108109,0.0,10.621621621621621,0.21621621621621623,13.67837837837838,275.0,0.054591351351351354,0.07208324324324325,0.023437837837837837,0.5550594594594594,0.7837837837837838,0.0,54.78378378378378,0.0,0.0,0.0,0.0,0.0,63844.21621621621,4.702702702702703,1.837837837837838,53.24324324324324
Jordan Pickford,GK,Everton,2.6810810810810812,0.02702702702702703,0.2702702702702703,17.486486486486488,0.1891891891891892,0.6216216216216216,182.0,0.002241081081081081,0.0017005405405405407,0.0,1.176327027027027,1.5405405405405406,0.0,87.56756756756756,0.0,0.02702702702702703,0.0,3.324324324324324,0.0,611554.3243243244,0.0,3.2162162162162162,44.513513513513516
Jorge Luiz Frello Filho,MID,Chelsea,2.5526315789473686,0.05263157894736842,0.13157894736842105,9.526315789473685,0.21052631578947367,6.686842105263158,130.0,0.01696815789473684,0.020389210526315787,0.004736842105263157,0.3381289473684211,0.6052631578947368,0.05263157894736842,53.60526315789474,0.0,0.0,0.0,0.0,0.0,253534.36842105264,2.5526315789473686,2.0,58.23684210526316
José Malheiro de Sá,GK,Wolves,4.04054054054054,0.0,0.4864864864864865,18.135135135135137,0.2972972972972973,0.0,478.0,8.189189189189189e-05,8.189189189189189e-05,0.0,0.9226324324324324,1.3513513513513513,0.0,85.13513513513513,0.0,0.05405405405405406,0.0,2.8378378378378377,0.0,600620.7567567568,0.0,3.972972972972973,50.13513513513514
João Félix Sequeira,FWD,Chelsea,2.8333333333333335,0.0,0.3333333333333333,6.238095238095238,0.09523809523809523,6.438095238095237,690.0,0.04497142857142857,0.20695714285714284,0.19103333333333333,0.6712190476190477,0.7619047619047619,0.19047619047619047,43.095238095238095,0.0,0.0,0.047619047619047616,0.0,0.0,233646.61904761905,13.666666666666666,2.0476190476190474,74.42857142857143
João Palhinha Gonçalves,MID,Fulham,2.1270270270270273,0.0,0.13513513513513514,9.891891891891891,0.24324324324324326,3.7594594594594595,220.0,0.0070291891891891885,0.06521837837837838,0.05872972972972973,0.8435702702702702,1.1081081081081081,0.08108108108108109,81.56756756756756,0.02702702702702703,0.0,0.0,0.0,0.0,30792.513513513513,8.513513513513514,2.2162162162162162,49.62162162162162
João Victor Gomes da Silva,MID,Wolves,1.4529411764705882,0.0,0.11764705882352941,4.588235294117647,0.11764705882352941,4.235294117647059,721.0,0.0058823529411764705,0.02411764705882353,0.017647058823529415,0.7047058823529412,0.7647058823529411,0.058823529411764705,33.23529411764706,0.0,0.0,0.0,0.0,0.0,3492.8823529411766,2.7058823529411766,1.1176470588235294,45.0
Joël Veltman,DEF,Brighton,3.054054054054054,0.02702702702702703,0.16216216216216217,12.027027027027026,0.2702702702702703,5.351351351351352,109.0,0.013134594594594595,0.03896972972972973,0.03205135135135135,0.40695675675675674,0.7297297297297297,0.02702702702702703,57.78378378378378,0.0,0.0,0.0,0.0,0.0,352005.45945945947,4.378378378378378,2.5675675675675675,45.972972972972975
Junior Firpo Adames,DEF,Leeds,0.7378378378378379,0.05405405405405406,0.08108108108108109,4.891891891891892,0.02702702702702703,3.3351351351351353,239.0,0.01946675675675676,0.020547837837837837,0.001891891891891892,0.7232432432432433,0.8378378378378378,0.02702702702702703,36.054054054054056,0.0,0.0,0.02702702702702703,0.0,0.0,4888.594594594595,1.1081081081081081,0.8108108108108109,45.0
Kai Havertz,FWD,Chelsea,3.6486486486486487,0.02702702702702703,0.35135135135135137,8.0,0.24324324324324326,13.872972972972972,145.0,0.05465567567567568,0.24741513513513516,0.23924594594594595,0.5748675675675675,0.8108108108108109,0.1891891891891892,67.75675675675676,0.0,0.0,0.0,0.0,0.0,422853.6216216216,27.35135135135135,2.72972972972973,76.70270270270271
Kalidou Koulibaly,DEF,Chelsea,2.6324324324324326,0.02702702702702703,0.21621621621621623,11.027027027027026,0.16216216216216217,2.8135135135135134,520.0,0.007485945945945946,0.016585945945945944,0.013424324324324326,0.36471621621621625,0.5945945945945946,0.05405405405405406,48.5945945945946,0.0,0.0,0.02702702702702703,0.0,0.0,749419.8918918918,3.810810810810811,2.0,55.027027027027025
Kamaldeen Sulemana,MID,Southampton,1.4470588235294117,0.058823529411764705,0.058823529411764705,5.235294117647059,0.17647058823529413,10.258823529411766,731.0,0.05823529411764706,0.1223529411764706,0.06647058823529413,0.8823529411764706,0.9411764705882353,0.0,51.411764705882355,0.0,0.0,0.0,0.0,0.0,1437.7058823529412,9.588235294117647,1.8235294117647058,49.76470588235294
Kaoru Mitoma,MID,Brighton,4.308108108108108,0.24324324324324326,0.2972972972972973,12.297297297297296,0.21621621621621623,15.340540540540541,124.0,0.08620027027027027,0.284484054054054,0.2199054054054054,0.8346459459459459,0.9459459459459459,0.1891891891891892,61.78378378378378,0.0,0.0,0.0,0.0,0.0,1334544.7027027027,23.16216216216216,3.7027027027027026,52.2972972972973
Kenny Tete,DEF,Fulham,2.3675675675675674,0.13513513513513514,0.0,12.243243243243244,0.1891891891891892,10.421621621621622,215.0,0.04388,0.053507027027027025,0.01205945945945946,0.8321756756756757,0.918918918918919,0.0,67.0,0.0,0.0,0.0,0.0,0.0,44237.13513513513,2.972972972972973,2.2162162162162162,44.32432432432432
Kepa Arrizabalaga,GK,Chelsea,3.683783783783784,0.0,0.40540540540540543,15.135135135135135,0.24324324324324326,0.002702702702702703,133.0,6.081081081081082e-05,6.081081081081082e-05,0.0,0.796864864864865,0.8648648648648649,0.0,66.89189189189189,0.0,0.0,0.0,2.3783783783783785,0.0,608960.5675675676,0.0,3.108108108108108,45.648648648648646
Kevin De Bruyne,MID,Man City,7.154054054054054,0.4864864864864865,0.7027027027027027,20.054054054054053,0.2702702702702703,39.910810810810815,301.0,0.20028675675675675,0.23967594594594593,0.07884864864864866,0.319554054054054,0.6216216216216216,0.1891891891891892,65.21621621621621,0.0,0.0,0.0,0.0,0.0,3323869.4864864866,16.16216216216216,4.945945945945946,122.89189189189189
